company,address,start_year,end_year,type,lat,lon
John Weber,"903-905 Leroy St, Muscatine, Iowa",1904,1913,cutting shop,41.439359,-91.046841
A.G. Schultz,Isett Ave near Bidwell Road,1907,1909,cutting shop,41.438114,-91.043366
Andrew Shultz,Isett Ave near Bidwell Road,1913,1916,cutting shop,41.438114,-91.043366
Shell Processing Company,"1201 E 5th St, Muscatine, Iowa",1952,1959,cutting shop,41.43059,-91.036232
Etter Button Company,"1321 E 5TH St, Muscatine, Iowa",1916,1916,cutting shop,41.431175,-91.033763
Frank Etter,"1321 E 5TH St, Muscatine, Iowa",1923,1924,cutting shop,41.431175,-91.033763
Sam Etter,"1401 E 5th St, Muscatine, Iowa",1921,1921,cutting shop,41.430902,-91.03345
Humpleby Button Company,"114 Sherman St, Muscatine, Iowa",1916,1927,cutting shop,41.433922,-91.030164
Fred Humpleby,"114 Sherman St, Muscatine, Iowa",1929,1941,cutting shop,41.433922,-91.030164
Aurthur Gritton,"119 E Sherman St, Muscatine, Iowa",Date unavailable,,cutting shop,41.434345,-91.029702
Star Pearl Button Company,"1478 Washington St, Muscatine, Iowa",1913,1913,cutting shop,41.435076,-91.03349
Dollman Button Company,"1467 Washington St, Muscatine, Iowa",1916,1921,cutting shop,41.435443,-91.033904
Dollman & Hoffman button Company,"300 Jefferson St, Muscatine, Iowa",1923,1927,cutting shop,41.436019,-91.034067
Dollman Button Company,"300 Jefferson St, Muscatine, Iowa",1936,1937,cutting shop,41.436019,-91.034067
William P. Rodgers,"906 Grand Ave, Muscatine, Iowa",1943,1946,cutting shop,41.435828,-91.032385
Tiedman Button Factory,"2520 Monroe St, Muscatine, Iowa",1913,1921,cutting shop,41.438193,-91.031086
Paul Button Company,"2406 Monroe St, Muscatine, Iowa",1921,1929,cutting shop,41.438193,-91.031086
Schmitt Button Company,"500 Adams St, Muscatine, Iowa",1927,1949,cutting shop,41.439401,-91.036004
Acme pearl Button Company,"500 Adams St, Muscatine, Iowa",1952,1954,cutting shop,41.439401,-91.036004
Clifford A. Paul,"301 1st Ave, Muscatine, Iowa",1943,1946,cutting shop,41.43899773,-91.03495938
Merle B. Mickey,"1206 Grand Ave, Muscatine, Iowa",1943,1943,cutting shop,41.438669,-91.03229
J.A. Irvin Jr.,"1502 Park Ave, Muscatine, Iowa",1919,1921,cutting shop,41.442527,-91.030977
Charles A. Douglas,"1324 Grand Ave, Muscatine, Iowa",1943,1943,cutting shop,41.439948,-91.032283
John F. Moore,"503 Adams St, Muscatine, Iowa",1936,1937,cutting shop,41.439423,-91.036153
Albert Orr,"517 Adams St, Muscatine, Iowa",1916,1916,cutting shop,41.439104,-91.036246
Ivan Goddard,"531 Adams St, Muscatine, Iowa",1934,1943,cutting shop,41.439106,-91.036432
Thomas Summit,"531 Adams St, Muscatine, Iowa",1946,1946,cutting shop,41.439106,-91.036432
Schmitt Button Company,"1224 Adams St, Muscatine, Iowa",1919,1924,cutting shop,41.439256,-91.036377
Earl Lipplegoes,"430 Jackson St, Muscatine, Iowa",1934,1939,cutting shop,41.440377,-91.035051
Tandy Davis,"500 Jackson St, Muscatine, Iowa",1931,1939,cutting shop,41.440066,-91.036126
Gabel Button Factory,"1203 Filmore St, Muscatine, Iowa",1913,1921,cutting shop,41.438686,-91.038077
Harry P. Gabel,"1203 Filmore St, Muscatine, Iowa",1938,1941,cutting shop,41.438686,-91.038077
Otto Herron,Howard Avenue at corner of Smith Street,1935,1937,cutting shop,41.440466,-91.037564
T.B. Davis,"439 Jackson St, Muscatine, Iowa",1923,1924,cutting shop,41.440079,-91.03519
J.H. Davis,"439 Jackson St, Muscatine, Iowa",1927,1927,cutting shop,41.440079,-91.03519
Gustave Sheppe,"501 Howard Ave, Muscatine, Iowa",1943,1943,cutting shop,41.439812,-91.037305
Chester Wellons,"327 Smith St, Muscatine, Iowa",1943,1943,cutting shop,41.440797,-91.038231
Edward I. Dye,"327 Smith St, Muscatine, Iowa",1943,1946,cutting shop,41.440797,-91.038231
Ronda Button Company,"502 Howard Ave, Muscatine, Iowa",1952,1959,cutting shop,41.439812,-91.037305
Perkins Fresh Water Pearl Products,Clay Street at the corner of Howard Avenue,Period of operation unknown,,cutting shop,41.441924,-91.037257
Charles E. Douglas,"607 Clay St, Muscatine, Iowa",1946,1946,cutting shop,41.44145,-91.037588
Kay C. Morrow,"127 Clay St, Muscatine, Iowa",1949,1952,cutting shop,41.442296,-91.032735
Mickey Brothers Button Company,"934 Scott St, Muscatine, Iowa",1936,1941,cutting shop,41.444737,-91.0433
Lindsley & Eutsler,"1017 E 6th St, Muscatine, Iowa",1921,1921,cutting shop,41.430027,-91.039256
